circuit,proportional,naive,lookahead,nodes_proportional,nodes_naive,nodes_lookahead
5xp1_194.real,0.096521083,0.111728889,0.159858735,882,1024,1024
C7552_205.real,0.119285309,0.133448677,0.251125321,942,994,994
alu1_198.real,0.112294285,0.682388472,0.530122221,3595,12422,12422
apla_203.real,1.978020119,2.266564527,2.531183469,9903,10162,10162
c2_181.real,0.416027629,0.529368871,0.96588178,5012,4612,4612
c2_182.real,54.711482417,11.896966928,29.649230298,184096,84805,84805
cm151a_211.real,0.150525582,0.347703559,0.681131743,4535,11824,5541
cm163a_213.real,0.061434594,0.096052081,0.225101999,1673,1673,1673
cu_219.real,0.044083693,0.054329697,0.078750244,636,712,712
dk17_224.real,0.123237998,0.184741765,0.233717433,1736,2460,2460
dk27_225.real,0.013282923,0.015870476,0.071474582,426,624,554
example2_231.real,1.160105386,1.806812181,1.936367692,4096,5134,5134
mlp4_245.real,0.147176552,0.380723764,0.542913075,771,2122,640
mod5adder_306.real,23.230854119,3538.934754712,204.576893955,392159,6907740,392159
pcler8_248.real,0.019672767,0.045101488,0.118271038,519,1829,1745
rd73_312.real,0.324078714,10.412560294,0.576883568,12584,114972,5761
rd84_313.real,53.427327043,2233.639307182,563.268339598,216135,2248432,2248432
sym9_317.real,0.18684157,23.03995183,1.583472869,18442,388213,22241
